frame,timestamp_sec,player,shot
1,0.04,1,BACKHAND
1,0.04,2,FOREHAND
2,0.08,1,BACKHAND
2,0.08,2,FOREHAND
3,0.12,1,FOREHAND
3,0.12,2,FOREHAND
4,0.16,1,FOREHAND
4,0.16,2,FOREHAND
5,0.2,1,FOREHAND
5,0.2,2,FOREHAND
6,0.24,1,FOREHAND
6,0.24,2,FOREHAND
7,0.28,1,BACKHAND
7,0.28,2,FOREHAND
8,0.32,1,BACKHAND
8,0.32,2,FOREHAND
9,0.36,1,BACKHAND
9,0.36,2,FOREHAND
10,0.4,1,BACKHAND
10,0.4,2,FOREHAND
11,0.44,1,BACKHAND
11,0.44,2,FOREHAND
12,0.48,1,BACKHAND
12,0.48,2,FOREHAND
13,0.52,1,BACKHAND
14,0.56,1,BACKHAND
14,0.56,2,BACKHAND
15,0.6,1,BACKHAND
15,0.6,2,FOREHAND
16,0.64,1,BACKHAND
16,0.64,2,FOREHAND
16,0.64,3,BACKHAND
17,0.68,1,FOREHAND
17,0.68,2,SERVE
18,0.72,1,FOREHAND
18,0.72,2,SMASH
19,0.76,1,FOREHAND
19,0.76,2,SMASH
19,0.76,3,FOREHAND
20,0.8,1,SMASH
20,0.8,2,BACKHAND
21,0.84,1,SMASH
21,0.84,2,BACKHAND
22,0.88,1,BACKHAND
22,0.88,2,SMASH
23,0.92,1,BACKHAND
23,0.92,2,SMASH
24,0.96,1,FOREHAND
24,0.96,2,SMASH
24,0.96,3,SMASH
25,1.0,1,FOREHAND
25,1.0,2,SMASH
26,1.04,1,FOREHAND
26,1.04,2,FOREHAND
26,1.04,3,SMASH
27,1.08,1,FOREHAND
27,1.08,2,SMASH
27,1.08,3,FOREHAND
28,1.12,1,FOREHAND
28,1.12,2,SMASH
28,1.12,3,FOREHAND
29,1.16,1,FOREHAND
29,1.16,2,SMASH
29,1.16,3,FOREHAND
30,1.2,1,FOREHAND
30,1.2,2,FOREHAND
31,1.24,1,BACKHAND
31,1.24,2,SMASH
31,1.24,3,FOREHAND
32,1.28,1,BACKHAND
32,1.28,2,FOREHAND
33,1.32,1,FOREHAND
33,1.32,2,FOREHAND
34,1.36,1,FOREHAND
34,1.36,2,FOREHAND
35,1.4,1,FOREHAND
35,1.4,2,FOREHAND
36,1.44,1,FOREHAND
36,1.44,2,FOREHAND
37,1.48,1,FOREHAND
37,1.48,2,FOREHAND
38,1.52,1,FOREHAND
38,1.52,2,FOREHAND
39,1.56,1,FOREHAND
39,1.56,2,FOREHAND
40,1.6,1,FOREHAND
40,1.6,2,FOREHAND
41,1.64,1,FOREHAND
41,1.64,2,FOREHAND
42,1.68,1,FOREHAND
42,1.68,2,FOREHAND
43,1.72,1,FOREHAND
43,1.72,2,FOREHAND
44,1.76,1,FOREHAND
44,1.76,2,FOREHAND
45,1.8,1,FOREHAND
45,1.8,2,FOREHAND
46,1.84,1,FOREHAND
46,1.84,2,FOREHAND
47,1.88,1,FOREHAND
47,1.88,2,FOREHAND
48,1.92,1,FOREHAND
48,1.92,2,FOREHAND
49,1.96,1,FOREHAND
49,1.96,2,FOREHAND
50,2.0,1,FOREHAND
50,2.0,2,FOREHAND
51,2.04,1,FOREHAND
51,2.04,2,FOREHAND
52,2.08,1,FOREHAND
52,2.08,2,FOREHAND
53,2.12,1,FOREHAND
53,2.12,2,FOREHAND
54,2.16,1,FOREHAND
54,2.16,2,FOREHAND
55,2.2,1,BACKHAND
55,2.2,2,FOREHAND
56,2.24,1,BACKHAND
56,2.24,2,FOREHAND
57,2.28,1,BACKHAND
57,2.28,2,FOREHAND
58,2.32,1,BACKHAND
58,2.32,2,FOREHAND
59,2.36,1,FOREHAND
59,2.36,2,FOREHAND
60,2.4,1,BACKHAND
60,2.4,2,FOREHAND
61,2.44,1,BACKHAND
61,2.44,2,FOREHAND
62,2.48,1,BACKHAND
62,2.48,2,FOREHAND
63,2.52,1,BACKHAND
63,2.52,2,FOREHAND
64,2.56,1,FOREHAND
64,2.56,2,FOREHAND
65,2.6,1,FOREHAND
65,2.6,2,FOREHAND
66,2.64,1,FOREHAND
66,2.64,2,FOREHAND
67,2.68,1,FOREHAND
67,2.68,2,FOREHAND
68,2.72,1,FOREHAND
68,2.72,2,FOREHAND
69,2.76,1,FOREHAND
69,2.76,2,FOREHAND
70,2.8,1,FOREHAND
70,2.8,2,FOREHAND
71,2.84,1,FOREHAND
71,2.84,2,FOREHAND
72,2.88,1,FOREHAND
72,2.88,2,FOREHAND
73,2.92,1,FOREHAND
73,2.92,2,FOREHAND
74,2.96,1,FOREHAND
74,2.96,2,FOREHAND
75,3.0,1,FOREHAND
75,3.0,2,FOREHAND
76,3.04,1,FOREHAND
76,3.04,2,BACKHAND
77,3.08,1,FOREHAND
78,3.12,1,FOREHAND
79,3.16,1,FOREHAND
80,3.2,1,FOREHAND
81,3.24,1,FOREHAND
82,3.28,1,BACKHAND
83,3.32,1,FOREHAND
83,3.32,2,SMASH
84,3.36,1,FOREHAND
84,3.36,2,BACKHAND
85,3.4,1,BACKHAND
85,3.4,2,BACKHAND
86,3.44,1,FOREHAND
86,3.44,2,SMASH
86,3.44,3,SMASH
87,3.48,1,BACKHAND
87,3.48,2,SMASH
87,3.48,3,SMASH
88,3.52,1,FOREHAND
88,3.52,2,BACKHAND
89,3.56,1,FOREHAND
89,3.56,2,BACKHAND
90,3.6,1,BACKHAND
90,3.6,2,BACKHAND
91,3.64,1,BACKHAND
91,3.64,2,BACKHAND
92,3.68,1,BACKHAND
92,3.68,2,FOREHAND
93,3.72,1,BACKHAND
93,3.72,2,FOREHAND
94,3.76,1,BACKHAND
94,3.76,2,FOREHAND
95,3.8,1,BACKHAND
95,3.8,2,FOREHAND
96,3.84,1,BACKHAND
96,3.84,2,FOREHAND
96,3.84,3,FOREHAND
97,3.88,1,BACKHAND
97,3.88,2,FOREHAND
98,3.92,1,BACKHAND
98,3.92,2,FOREHAND
99,3.96,1,BACKHAND
99,3.96,2,FOREHAND
100,4.0,1,FOREHAND
100,4.0,2,FOREHAND
101,4.04,1,FOREHAND
101,4.04,2,FOREHAND
102,4.08,1,BACKHAND
102,4.08,2,FOREHAND
103,4.12,1,BACKHAND
103,4.12,2,FOREHAND
104,4.16,1,FOREHAND
104,4.16,2,FOREHAND
105,4.2,1,BACKHAND
105,4.2,2,FOREHAND
106,4.24,1,BACKHAND
106,4.24,2,FOREHAND
107,4.28,1,BACKHAND
107,4.28,2,FOREHAND
108,4.32,1,FOREHAND
108,4.32,2,FOREHAND
109,4.36,1,FOREHAND
109,4.36,2,FOREHAND
110,4.4,1,FOREHAND
110,4.4,2,FOREHAND
111,4.44,1,FOREHAND
111,4.44,2,FOREHAND
112,4.48,1,FOREHAND
112,4.48,2,FOREHAND
113,4.52,1,BACKHAND
113,4.52,2,FOREHAND
114,4.56,1,FOREHAND
114,4.56,2,FOREHAND
115,4.6,1,BACKHAND
115,4.6,2,FOREHAND
116,4.64,1,FOREHAND
116,4.64,2,FOREHAND
117,4.68,1,FOREHAND
117,4.68,2,FOREHAND
118,4.72,1,BACKHAND
118,4.72,2,FOREHAND
119,4.76,1,BACKHAND
119,4.76,2,FOREHAND
120,4.8,1,FOREHAND
120,4.8,2,BACKHAND
121,4.84,1,FOREHAND
121,4.84,2,FOREHAND
122,4.88,1,FOREHAND
122,4.88,2,FOREHAND
123,4.92,1,FOREHAND
123,4.92,2,BACKHAND
124,4.96,1,FOREHAND
124,4.96,2,FOREHAND
125,5.0,1,FOREHAND
125,5.0,2,BACKHAND
125,5.0,3,FOREHAND
126,5.04,1,BACKHAND
126,5.04,2,FOREHAND
127,5.08,1,BACKHAND
127,5.08,2,FOREHAND
128,5.12,1,BACKHAND
128,5.12,2,FOREHAND
129,5.16,1,BACKHAND
129,5.16,2,FOREHAND
130,5.2,1,BACKHAND
130,5.2,2,FOREHAND
131,5.24,1,BACKHAND
131,5.24,2,BACKHAND
132,5.28,1,BACKHAND
132,5.28,2,FOREHAND
133,5.32,1,FOREHAND
133,5.32,2,FOREHAND
134,5.36,1,FOREHAND
134,5.36,2,BACKHAND
135,5.4,1,BACKHAND
135,5.4,2,BACKHAND
136,5.44,1,FOREHAND
136,5.44,2,BACKHAND
137,5.48,1,FOREHAND
137,5.48,2,BACKHAND
138,5.52,1,FOREHAND
138,5.52,2,BACKHAND
139,5.56,1,BACKHAND
139,5.56,2,FOREHAND
140,5.6,1,BACKHAND
140,5.6,2,FOREHAND
141,5.64,1,FOREHAND
141,5.64,2,FOREHAND
142,5.68,1,FOREHAND
142,5.68,2,BACKHAND
143,5.72,1,FOREHAND
143,5.72,2,BACKHAND
144,5.76,1,FOREHAND
144,5.76,2,BACKHAND
145,5.8,1,FOREHAND
145,5.8,2,BACKHAND
146,5.84,1,FOREHAND
146,5.84,2,FOREHAND
147,5.88,1,BACKHAND
147,5.88,2,FOREHAND
148,5.92,1,FOREHAND
148,5.92,2,FOREHAND
149,5.96,1,FOREHAND
149,5.96,2,FOREHAND
150,6.0,1,FOREHAND
150,6.0,2,FOREHAND
